method,reg/class,colour,time,mse,mae,acc,acc_within_1,acc_within_ci
MCMC,Regression,Red,161.6,0.7911542,0.7178789,0.4022177419354839,0.9163306451612904,0.9344758064516129
VI,Regression,Red,82.54,0.8265873,0.7399824,0.375,0.9012096774193549,0.9606854838709677
MCMC,Classification,Red,203.78,0.936491935483871,0.563508064516129,0.5806451612903226,0.8941532258064516,0.969758064516129
VI,Classification,Red,84.03,0.8508064516129032,0.5504032258064516,0.5756048387096774,0.8961693548387096,0.9909274193548387
MCMC,Regression,White,241.56,1.9489034,1.1257881,0.2641405820977485,0.729269632070291,0.9379461834157057
VI,Regression,White,100.98,1.9861467,1.1295662,0.2740252608456892,0.7125205930807249,0.9585392641405821
MCMC,Classification,White,329.01,1.5667215815485998,0.7561779242174629,0.5151015925315761,0.8261943986820428,0.9791323448654585
VI,Classification,White,111.96,1.5214168039538716,0.7311916529379462,0.5266337177375069,0.8410214168039539,0.9846238330587589
